C N N C N N N N N C N
49 Federal-gov HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
21 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Female 0 0
61 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
64 Private 5th-6th 3 Divorced Craft-repair Not-in-family White Male 0 0
63 Private HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 0
27 Federal-gov Bachelors 13 Never-married Exec-managerial Not-in-family White Female 0 0
23 Private Bachelors 13 Never-married Other-service Own-child Black Female 0 0
41 State-gov HS-grad 9 Divorced Exec-managerial Unmarried White Female 0 0
40 Private HS-grad 9 Married-civ-spouse Craft-repair Wife White Female 7298 1
55 Self-emp-not-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
17 Private 10th 6 Never-married Other-service Own-child White Female 0 0
34 Self-emp-not-inc Some-college 10 Never-married Craft-repair Not-in-family White Male 0 0
24 Private Bachelors 13 Never-married Adm-clerical Own-child White Female 0 0
30 Private Prof-school 15 Married-civ-spouse Prof-specialty Wife White Female 0 1
29 Private Masters 14 Never-married Exec-managerial Not-in-family Asian-Pac-Islander Male 0 0
52 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
57 Federal-gov Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
38 Private Bachelors 13 Never-married Tech-support Not-in-family White Female 0 0
43 Private Masters 14 Divorced Exec-managerial Not-in-family White Female 0 1
61 Private Some-college 10 Widowed Adm-clerical Other-relative White Female 0 0
38 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 15024 1
51 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband Black Male 0 1
40 Private Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 0
41 Local-gov Some-college 10 Married-civ-spouse Adm-clerical Husband White Male 0 1
19 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
28 Private 7th-8th 4 Married-civ-spouse Farming-fishing Husband White Male 0 0
59 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
32 State-gov Bachelors 13 Never-married Prof-specialty Own-child White Female 0 0
31 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
30 Private Assoc-acdm 12 Never-married Machine-op-inspct Not-in-family White Male 0 0
54 Self-emp-not-inc Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
33 Private Assoc-voc 11 Separated Craft-repair Not-in-family White Male 0 1
20 Private Some-college 10 Never-married Adm-clerical Own-child White Female 0 0
32 Self-emp-not-inc HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
35 Private HS-grad 9 Married-civ-spouse Transport-moving Wife Black Female 0 0
27 Private 11th 7 Never-married Craft-repair Not-in-family White Male 0 0
40 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
34 Private Assoc-voc 11 Married-civ-spouse Sales Husband White Male 0 0
34 Local-gov Assoc-acdm 12 Married-civ-spouse Prof-specialty Husband White Male 0 1
38 Private Some-college 10 Never-married Craft-repair Own-child White Female 0 0
28 Private HS-grad 9 Married-civ-spouse Other-service Husband Other Male 0 0
65 Private Some-college 10 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
61 Private Some-college 10 Never-married Tech-support Own-child White Male 0 0
18 Private 11th 7 Never-married Sales Own-child White Female 0 0
35 Self-emp-inc Bachelors 13 Married-civ-spouse Sales Own-child White Male 5178 1
45 Private Bachelors 13 Divorced Exec-managerial Unmarried White Female 0 0
25 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
48 Private Prof-school 15 Divorced Sales Not-in-family White Male 0 0
19 Private Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
43 Private Bachelors 13 Never-married Exec-managerial Not-in-family Black Female 0 1
54 Private Bachelors 13 Married-civ-spouse Craft-repair Husband White Male 0 1
47 Self-emp-not-inc Bachelors 13 Divorced Sales Not-in-family White Male 0 0
25 Private Assoc-voc 11 Never-married Adm-clerical Not-in-family White Female 4865 0
30 Private Assoc-acdm 12 Married-civ-spouse Craft-repair Husband White Male 0 0
35 Private HS-grad 9 Divorced Handlers-cleaners Unmarried White Female 0 0
26 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
61 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
54 Private HS-grad 9 Divorced Other-service Unmarried White Male 0 0
50 Private 12th 8 Married-civ-spouse Sales Husband Asian-Pac-Islander Male 0 1
32 Private 9th 5 Separated Machine-op-inspct Unmarried White Female 0 0
34 Private HS-grad 9 Divorced Machine-op-inspct Not-in-family White Female 0 0
36 Private HS-grad 9 Never-married Other-service Not-in-family White Male 0 0
50 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
28 Private 11th 7 Married-civ-spouse Farming-fishing Husband White Male 0 0
22 Private HS-grad 9 Never-married Other-service Own-child White Female 0 0
58 Private 11th 7 Married-civ-spouse Other-service Husband White Male 0 0
27 Private 5th-6th 3 Never-married Other-service Not-in-family White Male 0 0
62 Private Bachelors 13 Married-civ-spouse Tech-support Husband White Male 0 0
36 Self-emp-inc Bachelors 13 Never-married Tech-support Not-in-family White Male 27828 1
21 Local-gov Some-college 10 Never-married Adm-clerical Not-in-family White Female 594 0
41 Private Masters 14 Married-civ-spouse Prof-specialty Wife White Female 0 0
28 Private Some-college 10 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
33 Private Bachelors 13 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
54 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
19 Private Some-college 10 Never-married Sales Own-child Amer-Indian-Eskimo Female 0 0
76 Self-emp-not-inc 7th-8th 4 Never-married Farming-fishing Not-in-family White Male 0 0
34 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
40 Private Bachelors 13 Never-married Adm-clerical Not-in-family White Female 0 0
22 Private 11th 7 Never-married Sales Unmarried White Female 0 0
17 Private 11th 7 Never-married Handlers-cleaners Own-child White Male 0 0
55 Private Some-college 10 Divorced Other-service Not-in-family White Female 0 0
51 Local-gov Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 0 0
26 Private 5th-6th 3 Married-civ-spouse Handlers-cleaners Husband Other Male 0 0
44 Private Bachelors 13 Never-married Other-service Not-in-family White Male 0 0
54 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
34 Self-emp-not-inc Assoc-acdm 12 Never-married Craft-repair Not-in-family White Male 0 0
42 Private HS-grad 9 Divorced Adm-clerical Unmarried White Male 0 0
26 Private HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 0
39 Private 5th-6th 3 Married-civ-spouse Other-service Husband Asian-Pac-Islander Male 0 0
34 Private Bachelors 13 Never-married Other-service Not-in-family White Male 0 0
59 Private HS-grad 9 Divorced Craft-repair Not-in-family White Male 0 0
20 Private HS-grad 9 Never-married Other-service Own-child White Male 0 0
34 Private Some-college 10 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
51 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
34 Private Some-college 10 Married-civ-spouse Handlers-cleaners Husband White Male 0 1
47 Private Bachelors 13 Separated Prof-specialty Unmarried White Female 0 0
30 Self-emp-not-inc Assoc-voc 11 Divorced Craft-repair Not-in-family White Male 0 0
38 Private HS-grad 9 Separated Sales Not-in-family White Male 0 0
45 Private Bachelors 13 Married-civ-spouse Prof-specialty Wife Asian-Pac-Islander Female 5178 1
23 Private Some-college 10 Never-married Exec-managerial Not-in-family White Female 0 0
34 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
22 Private 12th 8 Never-married Handlers-cleaners Not-in-family White Male 0 0
31 Private HS-grad 9 Never-married Craft-repair Other-relative White Male 0 0
50 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
19 Private 1st-4th 2 Never-married Handlers-cleaners Other-relative White Male 0 0
28 Private Bachelors 13 Married-civ-spouse Sales Wife Black Female 15024 1
23 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Female 0 0
35 Private HS-grad 9 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
28 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband Black Male 0 0
27 Private Some-college 10 Never-married Adm-clerical Own-child White Male 0 0
46 Self-emp-inc Bachelors 13 Married-civ-spouse Sales Husband White Male 0 0
27 Private HS-grad 9 Divorced Handlers-cleaners Not-in-family White Male 0 0
25 Private 10th 6 Married-civ-spouse Other-service Wife White Female 0 0
34 Self-emp-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
33 Private HS-grad 9 Never-married Machine-op-inspct Unmarried White Male 0 0
36 Private Some-college 10 Never-married Craft-repair Not-in-family White Female 0 0
30 Private 7th-8th 4 Married-civ-spouse Craft-repair Husband White Male 0 0
23 Private Some-college 10 Married-civ-spouse Sales Wife White Female 0 0
36 Private 5th-6th 3 Married-spouse-absent Craft-repair Other-relative White Male 0 0
29 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
50 Self-emp-not-inc Some-college 10 Married-civ-spouse Farming-fishing Husband White Male 7688 1
19 Private 12th 8 Never-married Handlers-cleaners Not-in-family White Male 0 0
52 Federal-gov HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
20 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
22 Private Assoc-voc 11 Never-married Adm-clerical Not-in-family White Female 0 0
34 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
60 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
19 Private 11th 7 Never-married Other-service Not-in-family Black Male 0 0
59 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
36 Private HS-grad 9 Never-married Transport-moving Other-relative White Male 0 0
25 Private HS-grad 9 Never-married Craft-repair Own-child White Male 0 0
49 Private 7th-8th 4 Divorced Craft-repair Not-in-family White Male 0 0
25 Self-emp-not-inc HS-grad 9 Never-married Other-service Unmarried White Female 0 0
50 Private 11th 7 Divorced Other-service Unmarried White Female 0 0
44 Private Assoc-acdm 12 Divorced Prof-specialty Not-in-family White Female 0 0
33 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
40 Self-emp-inc Bachelors 13 Separated Craft-repair Own-child White Male 0 0
56 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
56 Self-emp-not-inc Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
23 Private Bachelors 13 Never-married Prof-specialty Own-child White Male 0 0
21 Private Some-college 10 Never-married Prof-specialty Own-child White Female 0 0
67 Private 7th-8th 4 Married-civ-spouse Craft-repair Husband White Male 0 0
54 State-gov Assoc-voc 11 Married-civ-spouse Protective-serv Husband White Male 0 0
50 Local-gov HS-grad 9 Never-married Other-service Not-in-family Black Female 0 0
59 Private 7th-8th 4 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
51 Private 11th 7 Widowed Handlers-cleaners Unmarried Black Female 0 0
30 Private HS-grad 9 Separated Exec-managerial Unmarried White Female 0 0
42 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
26 Private Bachelors 13 Never-married Sales Not-in-family White Male 0 0
47 Private Assoc-voc 11 Married-civ-spouse Adm-clerical Husband White Male 4064 0
78 Self-emp-not-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
24 Self-emp-not-inc HS-grad 9 Divorced Craft-repair Not-in-family White Male 0 0
27 Private 11th 7 Separated Farming-fishing Other-relative White Male 0 0
51 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
46 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 1
55 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
20 Private Some-college 10 Never-married Other-service Own-child White Male 0 0
30 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
19 Private HS-grad 9 Never-married Other-service Own-child White Female 0 0
30 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
31 Self-emp-not-inc Assoc-acdm 12 Married-civ-spouse Craft-repair Not-in-family White Male 0 1
26 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
53 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 1
24 Local-gov Some-college 10 Never-married Adm-clerical Not-in-family White Female 0 0
24 Private Some-college 10 Separated Prof-specialty Own-child White Male 0 0
36 Private HS-grad 9 Divorced Exec-managerial Unmarried White Female 0 0
39 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
53 Private HS-grad 9 Divorced Machine-op-inspct Unmarried Black Male 0 0
75 Self-emp-inc HS-grad 9 Widowed Sales Other-relative Asian-Pac-Islander Male 0 1
36 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
46 Self-emp-inc Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
56 Self-emp-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 1
29 Private HS-grad 9 Married-civ-spouse Handlers-cleaners Husband Black Male 0 0
60 Private 9th 5 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
58 Private HS-grad 9 Widowed Sales Not-in-family White Male 0 0
67 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
35 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 7688 1
39 Self-emp-not-inc Some-college 10 Married-civ-spouse Farming-fishing Husband White Male 0 0
37 Private Some-college 10 Married-civ-spouse Transport-moving Husband White Male 0 0
63 Self-emp-not-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 0
47 Private 11th 7 Divorced Other-service Not-in-family White Female 0 0
23 Private Bachelors 13 Never-married Adm-clerical Own-child White Female 0 0
55 Private HS-grad 9 Separated Machine-op-inspct Not-in-family White Male 4865 0
49 Private 11th 7 Married-civ-spouse Sales Wife White Female 0 0
39 Private Assoc-voc 11 Married-civ-spouse Machine-op-inspct Husband White Male 5178 1
23 Private HS-grad 9 Never-married Machine-op-inspct Own-child White Male 0 0
19 Private Some-college 10 Never-married Other-service Own-child White Female 0 0
44 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
25 Private Assoc-voc 11 Never-married Other-service Unmarried Amer-Indian-Eskimo Female 0 0
35 Private Assoc-voc 11 Divorced Prof-specialty Own-child Black Male 0 0
23 Local-gov HS-grad 9 Divorced Adm-clerical Own-child White Female 0 0
48 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 0 0
48 Private Some-college 10 Divorced Handlers-cleaners Own-child White Male 2176 0
44 Private HS-grad 9 Divorced Adm-clerical Unmarried Black Female 0 0
55 Self-emp-not-inc Bachelors 13 Married-civ-spouse Exec-managerial Wife White Female 0 0
33 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
18 Private 12th 8 Never-married Handlers-cleaners Own-child White Male 0 0
24 Private Bachelors 13 Never-married Adm-clerical Own-child White Male 2202 0
32 Local-gov Assoc-acdm 12 Married-civ-spouse Protective-serv Husband White Male 0 1
24 State-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
44 Self-emp-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 99999 1
27 Private Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 0
39 Private Assoc-acdm 12 Married-civ-spouse Tech-support Husband White Male 0 1
26 Local-gov 10th 6 Married-civ-spouse Other-service Husband White Male 0 0
34 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
38 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 99999 1
41 State-gov Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
32 Self-emp-inc HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
56 Local-gov Masters 14 Married-civ-spouse Exec-managerial Husband Black Male 0 1
59 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
44 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 1
35 Private Bachelors 13 Never-married Sales Own-child Asian-Pac-Islander Male 0 0
52 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband Other Male 3781 0
30 Private Some-college 10 Never-married Prof-specialty Own-child White Male 3325 0
23 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 0
43 Private HS-grad 9 Never-married Adm-clerical Unmarried White Female 8614 1
61 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
38 Private HS-grad 9 Never-married Adm-clerical Unmarried White Female 0 0
68 Private 10th 6 Married-civ-spouse Sales Husband White Male 0 0
41 Private Masters 14 Never-married Exec-managerial Not-in-family White Male 27828 1
42 Self-emp-not-inc Some-college 10 Never-married Prof-specialty Not-in-family White Male 0 0
19 Private HS-grad 9 Divorced Other-service Not-in-family White Female 0 0
31 Private 11th 7 Married-spouse-absent Handlers-cleaners Not-in-family Asian-Pac-Islander Male 0 0
40 Self-emp-inc Assoc-acdm 12 Married-civ-spouse Craft-repair Husband White Male 0 0
32 Private Bachelors 13 Never-married Tech-support Not-in-family Asian-Pac-Islander Female 0 0
51 Self-emp-inc HS-grad 9 Divorced Exec-managerial Not-in-family White Male 14084 1
44 Local-gov Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
23 Private Bachelors 13 Never-married Sales Own-child White Female 0 0
44 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
24 Private HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
34 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
17 Private 11th 7 Never-married Handlers-cleaners Own-child White Male 0 0
61 Private Masters 14 Married-civ-spouse Prof-specialty Husband Asian-Pac-Islander Male 0 1
30 Local-gov Bachelors 13 Never-married Exec-managerial Own-child White Male 0 0
45 Private Bachelors 13 Never-married Craft-repair Not-in-family White Male 0 0
22 Private Assoc-voc 11 Never-married Adm-clerical Own-child White Female 0 0
49 Private Some-college 10 Married-civ-spouse Other-service Husband White Male 0 0
39 Private Assoc-acdm 12 Widowed Adm-clerical Unmarried White Female 0 0
34 Private Some-college 10 Never-married Adm-clerical Other-relative White Female 0 0
52 Local-gov Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 1
24 Private Assoc-voc 11 Never-married Adm-clerical Not-in-family White Female 0 0
38 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
19 Private 11th 7 Never-married Machine-op-inspct Own-child White Male 0 0
24 Private HS-grad 9 Never-married Other-service Not-in-family White Female 0 0
25 Private Assoc-acdm 12 Never-married Other-service Own-child White Male 0 0
71 Private 7th-8th 4 Widowed Transport-moving Not-in-family White Male 0 0
27 Private HS-grad 9 Married-civ-spouse Prof-specialty Wife Black Female 0 0
28 Private Assoc-voc 11 Never-married Tech-support Not-in-family Black Female 0 0
54 Private Assoc-voc 11 Married-civ-spouse Protective-serv Husband Black Male 15024 1
18 Private 11th 7 Never-married Sales Own-child Black Female 0 0
49 Private HS-grad 9 Married-civ-spouse Other-service Husband Black Male 0 0
36 Private HS-grad 9 Married-spouse-absent Other-service Unmarried White Female 0 0
57 Private HS-grad 9 Widowed Transport-moving Unmarried White Male 0 0
56 Federal-gov Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
17 Private 10th 6 Never-married Other-service Own-child White Male 0 0
30 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 0
41 Private 10th 6 Never-married Sales Own-child White Female 0 0
26 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Male 0 0
61 Private 10th 6 Married-civ-spouse Craft-repair Husband White Male 0 0
24 Private HS-grad 9 Never-married Machine-op-inspct Not-in-family White Male 0 0
44 Private 11th 7 Never-married Other-service Not-in-family White Female 0 0
38 State-gov Masters 14 Never-married Prof-specialty Other-relative White Female 0 0
25 Private Bachelors 13 Never-married Sales Own-child White Male 0 0
34 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
38 Private Some-college 10 Never-married Transport-moving Not-in-family White Male 0 0
42 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
48 Private 7th-8th 4 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
38 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
52 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
55 State-gov Assoc-voc 11 Widowed Prof-specialty Unmarried White Female 6849 0
41 Self-emp-not-inc HS-grad 9 Divorced Farming-fishing Other-relative White Male 0 0
45 Private 5th-6th 3 Never-married Machine-op-inspct Own-child White Female 0 0
49 Private 7th-8th 4 Never-married Machine-op-inspct Not-in-family Asian-Pac-Islander Male 0 0
19 Private Some-college 10 Never-married Other-service Not-in-family White Male 0 0
39 Private Bachelors 13 Married-civ-spouse Adm-clerical Husband White Male 0 0
43 Private Some-college 10 Never-married Other-service Not-in-family White Male 2174 0
42 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
17 Private 11th 7 Never-married Handlers-cleaners Own-child White Male 0 0
30 Private Assoc-acdm 12 Never-married Prof-specialty Not-in-family Black Female 0 0
61 Local-gov Masters 14 Divorced Prof-specialty Not-in-family White Female 0 0
48 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 15024 1
57 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 1
27 Private 5th-6th 3 Married-civ-spouse Handlers-cleaners Husband White Male 0 0
24 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 0
41 Private 12th 8 Divorced Transport-moving Not-in-family White Male 0 1
42 Private HS-grad 9 Widowed Transport-moving Unmarried White Male 0 0
34 Private Bachelors 13 Never-married Prof-specialty Own-child White Female 0 0
47 Private HS-grad 9 Divorced Exec-managerial Unmarried White Female 0 0
50 Private HS-grad 9 Never-married Adm-clerical Not-in-family White Male 0 0
30 Private HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 0
38 Private Bachelors 13 Married-civ-spouse Craft-repair Husband White Male 0 0
31 Private HS-grad 9 Married-civ-spouse Prof-specialty Husband White Male 0 1
44 Private Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 0 1
34 Private Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
52 Private HS-grad 9 Divorced Machine-op-inspct Not-in-family Black Male 14344 1
34 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
31 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
68 Private Some-college 10 Divorced Sales Not-in-family White Female 0 0
22 Private HS-grad 9 Never-married Adm-clerical Own-child White Female 0 0
42 Private Bachelors 13 Never-married Exec-managerial Not-in-family White Female 0 0
37 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
36 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
38 Private Some-college 10 Divorced Adm-clerical Unmarried White Female 0 0
72 Without-pay HS-grad 9 Married-civ-spouse Other-service Husband White Male 0 0
40 Private 5th-6th 3 Married-civ-spouse Other-service Husband White Male 0 0
19 Private Some-college 10 Never-married Sales Own-child White Male 0 0
55 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 0 1
30 Private Assoc-acdm 12 Married-civ-spouse Craft-repair Husband White Male 0 0
52 Private Bachelors 13 Separated Adm-clerical Unmarried White Female 0 0
29 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 3103 1
41 Private Some-college 10 Married-civ-spouse Prof-specialty Husband Black Male 0 0
29 Private Bachelors 13 Never-married Adm-clerical Not-in-family White Female 0 0
24 Private Bachelors 13 Never-married Sales Not-in-family White Female 0 0
46 Self-emp-not-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
44 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
17 Private 10th 6 Never-married Sales Own-child Black Female 0 0
35 Private Assoc-voc 11 Divorced Other-service Unmarried White Female 0 0
38 Private HS-grad 9 Divorced Craft-repair Unmarried White Male 0 0
36 Private 9th 5 Never-married Handlers-cleaners Own-child White Male 0 0
24 Private 11th 7 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
38 Self-emp-not-inc Bachelors 13 Married-civ-spouse Farming-fishing Husband White Male 0 0
19 Private 11th 7 Never-married Sales Not-in-family White Female 0 0
30 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
36 Local-gov Assoc-voc 11 Married-civ-spouse Transport-moving Husband Amer-Indian-Eskimo Male 0 0
27 Private Some-college 10 Never-married Craft-repair Not-in-family White Male 0 0
27 Private Assoc-acdm 12 Married-civ-spouse Adm-clerical Husband White Male 0 1
65 Federal-gov Some-college 10 Married-civ-spouse Exec-managerial Husband Black Male 0 1
37 Private Masters 14 Never-married Exec-managerial Not-in-family Black Female 0 1
17 Private 11th 7 Never-married Sales Own-child White Male 0 0
57 Private 5th-6th 3 Married-civ-spouse Transport-moving Husband Black Male 0 0
54 Self-emp-not-inc Masters 14 Divorced Prof-specialty Not-in-family White Female 0 0
21 Private Some-college 10 Never-married Other-service Not-in-family White Female 0 0
43 Private HS-grad 9 Separated Handlers-cleaners Not-in-family White Male 0 0
50 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
38 Private 11th 7 Married-civ-spouse Handlers-cleaners Husband White Male 0 1
31 Private HS-grad 9 Married-civ-spouse Prof-specialty Husband White Male 15024 1
41 Private Prof-school 15 Divorced Prof-specialty Unmarried White Female 0 0
20 Private Some-college 10 Never-married Prof-specialty Not-in-family White Female 0 0
28 Private Bachelors 13 Married-civ-spouse Adm-clerical Other-relative White Female 0 0
62 Private 9th 5 Married-civ-spouse Other-service Husband White Male 0 0
41 Private 12th 8 Divorced Machine-op-inspct Not-in-family Black Female 0 0
37 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
53 Self-emp-not-inc Some-college 10 Married-civ-spouse Farming-fishing Husband White Male 0 0
28 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
23 Private Masters 14 Never-married Prof-specialty Not-in-family White Female 0 0
46 Self-emp-not-inc HS-grad 9 Married-civ-spouse Farming-fishing Husband White Male 0 0
28 Private HS-grad 9 Never-married Sales Not-in-family White Female 0 0
50 Private 10th 6 Separated Adm-clerical Unmarried White Female 0 0
19 Private Some-college 10 Never-married Craft-repair Not-in-family White Male 0 0
84 Private 7th-8th 4 Married-civ-spouse Prof-specialty Husband Black Male 0 0
48 Self-emp-not-inc Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 0 1
61 Self-emp-not-inc HS-grad 9 Widowed Adm-clerical Unmarried White Female 0 0
44 Private Some-college 10 Divorced Craft-repair Not-in-family White Male 0 0
32 Private HS-grad 9 Separated Handlers-cleaners Unmarried Asian-Pac-Islander Female 0 0
25 Private Some-college 10 Never-married Adm-clerical Own-child White Male 0 0
47 State-gov Some-college 10 Divorced Adm-clerical Not-in-family White Female 0 0
19 Private Some-college 10 Never-married Sales Own-child White Female 0 0
37 Private Some-college 10 Married-civ-spouse Other-service Husband White Male 0 0
28 Private HS-grad 9 Divorced Tech-support Own-child Asian-Pac-Islander Female 0 0
34 Private Assoc-acdm 12 Married-civ-spouse Adm-clerical Wife White Female 0 1
32 Self-emp-not-inc Some-college 10 Divorced Other-service Not-in-family White Female 0 0
24 Private Some-college 10 Never-married Other-service Not-in-family White Male 0 0
30 Private Some-college 10 Married-civ-spouse Exec-managerial Husband Black Male 0 0
56 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 0
30 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
28 Private Some-college 10 Never-married Adm-clerical Own-child White Female 0 0
